vx11-spawner-test  | INFO:     172.18.0.3:35372 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:36970 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:34182 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:54412 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:51992 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:59386 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:57774 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:33314 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:41324 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:33522 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:57418 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:43892 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:33908 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:37218 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:53960 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:57572 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:52214 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:54486 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:36354 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:39908 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:38022 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41336 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:41852 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:56846 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:60204 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:32792 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:56688 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:58684 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:48358 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:57814 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:40274 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:36578 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:33710 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:48054 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:38388 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:54506 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:36218 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:45862 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:46932 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:45034 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:48604 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:55680 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42912 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:49254 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:34984 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:53144 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42658 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.4:45244 - "POST /spawn HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.4:45248 - "POST /spawn HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.4:45256 - "POST /spawn HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:58168 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:51202 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41134 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42118 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:39310 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:60496 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:59902 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:60108 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41492 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:40124 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:45562 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:50516 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:45190 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42646 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:51630 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:57082 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:35606 - "GET /health HTTP/1.1" 200 OK
